year_bce,canonical_record_count,stress_record_count,high_stress_record_count,strict_stress_record_count,refinancing_record_count,repayment_pressure_record_count,normalized_amount_count,strict_hs_total,candidate_hs_total,supporting_records
81,1,1,0,0,0,1,0,0,0,SEC-STAGED-0094
70,3,3,0,0,0,0,6,0,0,SEC-STAGED-0088; SEC-STAGED-0096; SEC-STAGED-0097
65,1,1,0,0,0,1,0,0,0,ATT-PILOT-0001
63,1,0,0,0,0,0,0,0,0,
62,1,1,0,0,0,0,0,0,0,SEC-STAGED-0099
61,5,2,0,0,0,0,0,0,0,SEC-STAGED-0002; SEC-STAGED-0089
60,1,1,0,0,0,0,0,0,0,SEC-STAGED-0066
59,3,3,1,0,1,1,0,0,0,SEC-STAGED-0040; SEC-STAGED-0065; SEC-STAGED-0073
58,1,1,0,1,0,0,0,0,0,QFR-PILOT-0001
57,2,1,0,0,0,0,0,0,0,SEC-STAGED-0006
56,3,1,0,0,0,0,0,0,0,SEC-STAGED-0047
54,3,2,0,0,0,1,0,0,0,QFR-PILOT-0002; SEC-STAGED-0048
51,6,6,0,0,1,3,1,0,0,ATT-PILOT-0019; SEC-STAGED-0055; SEC-STAGED-0056; SEC-STAGED-0058; SEC-STAGED-0061; SEC-STAGED-0078
50,18,15,0,0,0,7,1,0,0,ATT-PILOT-0020; ATT-PILOT-0021; ATT-PILOT-0031; ATT-PILOT-0032; ATT-PILOT-0033; CIC-SRC-EXP-0004; CIC-SRC-EXP-0005; SEC-STAGED-0019; SEC-STAGED-0020; SEC-STAGED-0032; SEC-STAGED-0062; SEC-STAGED-0068; SEC-STAGED-0069; SEC-STAGED-0071; SEC-STAGED-0074
49,6,6,2,4,2,2,2,13000,813000,ATT-PILOT-0003; ATT-PILOT-0005; ATT-PILOT-0006; ATT-PILOT-0007; ATT-PILOT-0022; SEC-STAGED-0075
48,5,4,0,0,0,1,1,0,2200000,ATT-PILOT-0034; FAM-PILOT-0006; SEC-STAGED-0077; SEC-STAGED-0095
47,3,3,0,1,0,1,1,0,30000,ATT-PILOT-0010; ATT-PILOT-0023; ATT-PILOT-0024
46,6,6,0,2,0,0,0,0,0,FAM-PILOT-0002; FAM-PILOT-0003; SEC-STAGED-0057; SEC-STAGED-0064; SEC-STAGED-0070; SEC-STAGED-0092
45,13,10,0,4,0,3,3,20000,1220000,ATT-PILOT-0012; ATT-PILOT-0025; ATT-PILOT-0026; ATT-PILOT-0027; SEC-STAGED-0010; SEC-STAGED-0025; SEC-STAGED-0030; SEC-STAGED-0038; SEC-STAGED-0042; SEC-STAGED-0053
44,19,17,4,9,4,6,8,225000,425000,ATT-PILOT-0013; ATT-PILOT-0014; ATT-PILOT-0016; ATT-PILOT-0017; ATT-PILOT-0018; ATT-PILOT-0028; ATT-PILOT-0029; ATT-PILOT-0030; ATT-PILOT-0035; ATT-PILOT-0036; ATT-PILOT-0037; FAM-PILOT-0004; FAM-PILOT-0005; SEC-STAGED-0036; SEC-STAGED-0045; SEC-STAGED-0072; SEC-STAGED-0076
43,4,4,1,0,1,0,0,0,0,CIC-SRC-EXP-0003; SEC-STAGED-0008; SEC-STAGED-0044; SEC-STAGED-0067
20,1,0,0,0,0,0,0,0,0,
undated,8,4,0,0,1,1,0,0,0,SEC-STAGED-0015; SEC-STAGED-0027; SEC-STAGED-0081; SEC-STAGED-0082
