exposure_group_id,record_id,source_citation,year_bce,calculation_window,membership_role,amount_role,timing_role,party_role,graph_role,scope_role,stock_class,contributes_to_amount_pool,calibration_fold_eligible,contributes_to_o5_t4,contributes_to_o5_t5_seed,contributes_to_o5_t5_candidate_basis,contributes_to_o5_t5_candidate_endpoint,contributes_to_o56,contributes_to_strict_graph,contributes_to_strict_stock,contributes_to_o6_actor_universe,decision_authority,decision_reason
EG-CLEAN-0058,ATT-PILOT-0001,Att. 1.1,65,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0056,ATT-PILOT-0002,Att. 1.12,61,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0010,ATT-PILOT-0003,Att. 5.1; Att. 5.4-5.6,49,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0066,ATT-PILOT-0004,Att. 7.3,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0045,ATT-PILOT-0005,Att. 7.18; Att. 10.15; Cic. Att. 16.16c,49,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0050,ATT-PILOT-0006,Att. 8.6,49,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0042,ATT-PILOT-0007,Att. 10.11,49,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0040,ATT-PILOT-0009,Att. 11.3,48,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0008,ATT-PILOT-0010,Att. 11.13,47,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
O5EG-0016,ATT-PILOT-0011,Att. 12.22,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,forced_reviewed_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
O5EG-0016,ATT-PILOT-0012,Att. 12.25,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,forced_reviewed_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0024,ATT-PILOT-0013,Att. 15.15,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,strict_private,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,yes,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0025,ATT-PILOT-0014,Att. 15.20,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,forced_reviewed_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
